Episode, Reward, Timesteps, Time taken (s)
Episode: 1, Reward: -34.72, Timesteps: 7874, Time taken: 4.95 s
Episode: 2, Reward: -123.32, Timesteps: 5247, Time taken: 8.76 s
Episode: 3, Reward: 76.39, Timesteps: 452, Time taken: 10.72 s
Episode: 4, Reward: -4.94, Timesteps: 1636, Time taken: 13.26 s
Episode: 5, Reward: 93.31, Timesteps: 193, Time taken: 15.51 s
Episode: 6, Reward: 92.77, Timesteps: 128, Time taken: 17.88 s
Episode: 7, Reward: -736.09, Timesteps: 7932, Time taken: 22.59 s
Episode: 8, Reward: -716.98, Timesteps: 7952, Time taken: 27.44 s
Episode: 9, Reward: -720.56, Timesteps: 7997, Time taken: 32.44 s
Episode: 10, Reward: -685.58, Timesteps: 7941, Time taken: 37.15 s
Episode: 11, Reward: -709.8, Timesteps: 7683, Time taken: 41.7 s
Episode: 12, Reward: -734.3, Timesteps: 8000, Time taken: 46.55 s
Episode: 13, Reward: -711.65, Timesteps: 7970, Time taken: 51.62 s
Episode: 14, Reward: -708.96, Timesteps: 7814, Time taken: 56.21 s
Episode: 15, Reward: -723.95, Timesteps: 8000, Time taken: 60.89 s
Episode: 16, Reward: -706.45, Timesteps: 7979, Time taken: 65.79 s
Episode: 17, Reward: -727.11, Timesteps: 7970, Time taken: 70.8 s
Episode: 18, Reward: -720.64, Timesteps: 7782, Time taken: 75.54 s
Episode: 19, Reward: -714.49, Timesteps: 7961, Time taken: 80.44 s
Episode: 20, Reward: -734.4, Timesteps: 7980, Time taken: 85.15 s
Episode: 21, Reward: -712.48, Timesteps: 7895, Time taken: 89.87 s
Episode: 22, Reward: -419.49, Timesteps: 7656, Time taken: 94.63 s
Episode: 23, Reward: -381.78, Timesteps: 7869, Time taken: 99.17 s
Episode: 24, Reward: 90.3, Timesteps: 117, Time taken: 101.26 s
Episode: 25, Reward: 91.5, Timesteps: 115, Time taken: 103.31 s
Episode: 26, Reward: 45.9, Timesteps: 575, Time taken: 105.56 s
Episode: 27, Reward: 70.6, Timesteps: 325, Time taken: 107.91 s
Episode: 28, Reward: -376.49, Timesteps: 5281, Time taken: 111.84 s
Episode: 29, Reward: -62.35, Timesteps: 1800, Time taken: 114.71 s
Episode: 30, Reward: 63.01, Timesteps: 411, Time taken: 116.88 s
Episode: 31, Reward: -243.5, Timesteps: 3620, Time taken: 119.99 s
Episode: 32, Reward: 63.47, Timesteps: 427, Time taken: 122.19 s
Episode: 33, Reward: 50.5, Timesteps: 511, Time taken: 124.81 s
Episode: 34, Reward: -177.14, Timesteps: 3050, Time taken: 127.92 s
Episode: 35, Reward: -32.42, Timesteps: 1484, Time taken: 130.46 s
Episode: 36, Reward: -422.36, Timesteps: 5666, Time taken: 134.36 s
Episode: 37, Reward: -196.52, Timesteps: 3370, Time taken: 137.69 s
Episode: 38, Reward: -183.26, Timesteps: 3029, Time taken: 141.11 s
Episode: 39, Reward: 59.33, Timesteps: 469, Time taken: 143.73 s
Episode: 40, Reward: 63.05, Timesteps: 417, Time taken: 146.01 s
Episode: 41, Reward: 46.57, Timesteps: 594, Time taken: 148.26 s
Episode: 42, Reward: -10.2, Timesteps: 1154, Time taken: 150.63 s
Episode: 43, Reward: -54.06, Timesteps: 1788, Time taken: 153.38 s
Episode: 44, Reward: 8.89, Timesteps: 946, Time taken: 155.86 s
Episode: 45, Reward: 0.45, Timesteps: 1081, Time taken: 158.08 s
Episode: 46, Reward: -68.28, Timesteps: 1885, Time taken: 160.93 s
Episode: 47, Reward: -31.96, Timesteps: 1499, Time taken: 163.42 s
Episode: 48, Reward: -676.05, Timesteps: 7630, Time taken: 168.16 s
Episode: 49, Reward: 4.4, Timesteps: 1046, Time taken: 170.5 s
Episode: 50, Reward: -47.69, Timesteps: 1661, Time taken: 173.15 s
Episode: 51, Reward: 23.57, Timesteps: 822, Time taken: 175.8 s
