Episode, Reward, Timesteps, Time taken (s)
Episode: 1, Reward: -1.48, Timesteps: 20, Time taken: 0.8 s
Episode: 2, Reward: -121.14, Timesteps: 20, Time taken: 1.56 s
Episode: 3, Reward: -116.52, Timesteps: 20, Time taken: 2.16 s
Episode: 4, Reward: -140.33, Timesteps: 20, Time taken: 2.8 s
Episode: 5, Reward: -132.05, Timesteps: 20, Time taken: 3.4 s
Episode: 6, Reward: -138.14, Timesteps: 20, Time taken: 4.01 s
Episode: 7, Reward: -108.69, Timesteps: 20, Time taken: 4.66 s
Episode: 8, Reward: -106.04, Timesteps: 20, Time taken: 5.24 s
Episode: 9, Reward: -156.38, Timesteps: 20, Time taken: 5.84 s
Episode: 10, Reward: -105.81, Timesteps: 20, Time taken: 6.54 s
Episode: 11, Reward: -101.92, Timesteps: 20, Time taken: 7.31 s
Episode: 12, Reward: -138.43, Timesteps: 20, Time taken: 7.98 s
Episode: 13, Reward: -111.21, Timesteps: 20, Time taken: 8.59 s
Episode: 14, Reward: -115.04, Timesteps: 20, Time taken: 9.38 s
Episode: 15, Reward: -138.92, Timesteps: 20, Time taken: 10.15 s
Episode: 16, Reward: -111.06, Timesteps: 20, Time taken: 10.97 s
Episode: 17, Reward: -171.98, Timesteps: 20, Time taken: 11.66 s
Episode: 18, Reward: -178.91, Timesteps: 20, Time taken: 12.29 s
Episode: 19, Reward: -113.9, Timesteps: 20, Time taken: 12.99 s
Episode: 20, Reward: -179.1, Timesteps: 20, Time taken: 13.65 s
Episode: 21, Reward: -110.8, Timesteps: 20, Time taken: 14.42 s
Episode: 22, Reward: -114.98, Timesteps: 20, Time taken: 15.19 s
Episode: 23, Reward: -49.47, Timesteps: 20, Time taken: 15.97 s
Episode: 24, Reward: -90.04, Timesteps: 20, Time taken: 16.78 s
Episode: 25, Reward: -116.26, Timesteps: 20, Time taken: 17.38 s
Episode: 26, Reward: -115.18, Timesteps: 20, Time taken: 18.14 s
Episode: 27, Reward: -117.14, Timesteps: 20, Time taken: 18.86 s
Episode: 28, Reward: -115.31, Timesteps: 20, Time taken: 19.59 s
Episode: 29, Reward: -113.37, Timesteps: 20, Time taken: 20.37 s
Episode: 30, Reward: -115.38, Timesteps: 20, Time taken: 21.08 s
Episode: 31, Reward: -4.97, Timesteps: 20, Time taken: 21.81 s
Episode: 32, Reward: -129.97, Timesteps: 20, Time taken: 22.54 s
Episode: 33, Reward: -124.31, Timesteps: 20, Time taken: 23.22 s
Episode: 34, Reward: -112.19, Timesteps: 20, Time taken: 23.93 s
Episode: 35, Reward: -150.05, Timesteps: 20, Time taken: 24.67 s
Episode: 36, Reward: -119.48, Timesteps: 20, Time taken: 25.3 s
Episode: 37, Reward: -133.18, Timesteps: 20, Time taken: 25.98 s
Episode: 38, Reward: -173.39, Timesteps: 20, Time taken: 26.66 s
Episode: 39, Reward: -125.33, Timesteps: 20, Time taken: 27.41 s
Episode: 40, Reward: -117.7, Timesteps: 20, Time taken: 28.24 s
Episode: 41, Reward: -117.69, Timesteps: 20, Time taken: 28.94 s
Episode: 42, Reward: -145.31, Timesteps: 20, Time taken: 29.72 s
Episode: 43, Reward: -158.77, Timesteps: 20, Time taken: 30.39 s
Episode: 44, Reward: -0.15, Timesteps: 3, Time taken: 31.12 s
Episode: 45, Reward: -103.48, Timesteps: 20, Time taken: 31.76 s
Episode: 46, Reward: -65.06, Timesteps: 20, Time taken: 32.47 s
Episode: 47, Reward: -163.04, Timesteps: 20, Time taken: 33.09 s
Episode: 48, Reward: -115.77, Timesteps: 20, Time taken: 33.83 s
Episode: 49, Reward: -105.76, Timesteps: 20, Time taken: 34.61 s
Episode: 50, Reward: -16.12, Timesteps: 20, Time taken: 35.32 s
Episode: 51, Reward: -115.12, Timesteps: 20, Time taken: 36.02 s
Episode: 52, Reward: -118.49, Timesteps: 20, Time taken: 36.84 s
Episode: 53, Reward: -118.44, Timesteps: 20, Time taken: 37.48 s
Episode: 54, Reward: -40.62, Timesteps: 20, Time taken: 38.15 s
Episode: 55, Reward: -103.5, Timesteps: 20, Time taken: 38.8 s
Episode: 56, Reward: -120.19, Timesteps: 20, Time taken: 39.46 s
Episode: 57, Reward: -107.04, Timesteps: 20, Time taken: 40.12 s
Episode: 58, Reward: -93.95, Timesteps: 20, Time taken: 40.83 s
Episode: 59, Reward: -99.75, Timesteps: 20, Time taken: 41.55 s
Episode: 60, Reward: -159.82, Timesteps: 20, Time taken: 42.24 s
Episode: 61, Reward: -140.92, Timesteps: 20, Time taken: 42.83 s
Episode: 62, Reward: -114.37, Timesteps: 20, Time taken: 43.46 s
Episode: 63, Reward: -169.68, Timesteps: 20, Time taken: 44.24 s
Episode: 64, Reward: -121.3, Timesteps: 20, Time taken: 44.92 s
Episode: 65, Reward: -88.9, Timesteps: 20, Time taken: 45.57 s
Episode: 66, Reward: -113.74, Timesteps: 20, Time taken: 46.37 s
Episode: 67, Reward: -169.2, Timesteps: 20, Time taken: 47.0 s
